file,stage,epoch,sigma_rms,slow_rms,alpha_rms,beta_rms,kcomplex_like,k_min,sw_occ,eog_ptp,eog_zc,emg_rms
SC4001E0-PSG.edf,Wake,0,1.9878626960614005,21.75545090848016,1.7911559930172736,3.0541687258186903,1,-121.57655677655677,0.021333333333333333,602.6896214896215,0.5593729152768512,3.500668888464984
SC4001E0-PSG.edf,Wake,1,3.1885537666081616,16.972226134797307,2.4687864058930424,5.216570097780673,1,-101.41538461538461,0.03266666666666666,793.4017094017095,0.6457638425617078,3.4159598358294554
SC4001E0-PSG.edf,Wake,2,2.3703220987391758,19.39989223520116,5.378034227127358,3.7803474466276143,1,-113.88717948717948,0.036,696.8136752136752,0.6484322881921281,3.4534584404622564
SC4001E0-PSG.edf,Wake,3,1.6022052063560528,13.170921655412021,6.429532266598545,2.626527906934212,1,-58.56117216117216,0.009,245.90525030525032,0.6697798532354903,3.4047771929060695
SC4001E0-PSG.edf,Wake,4,1.6977386883924177,13.504678682416138,6.029902540529316,2.4896663689458385,1,-81.72307692307692,0.019333333333333334,206.974358974359,0.6717811874583055,3.3869688513477656
SC4001E0-PSG.edf,Wake,5,2.16867157911772,20.067498128919837,1.6630810391338078,3.047129699174731,1,-101.13406593406593,0.021,529.7557997557998,0.6821214142761841,3.3844618479161506
SC4001E0-PSG.edf,Wake,6,3.218834562071294,23.904110713009718,2.869684995656462,6.018566198366714,1,-110.88644688644689,0.028,634.7213675213675,0.6390927284856571,3.489462136203802
SC4001E0-PSG.edf,Wake,7,1.7439035189870622,23.053437969463328,1.7380129249638527,2.8332599595107295,1,-109.47985347985347,0.03166666666666667,671.1882783882784,0.6020680453635757,3.3850917860524845
SC4001E0-PSG.edf,Wake,8,1.9403230108417497,15.71819633727548,1.794433106765573,2.9268462464327114,1,-88.56849816849817,0.039,622.4014652014653,0.6631087391594396,3.4839020652136594
SC4001E0-PSG.edf,Wake,9,2.2901204845542718,19.859293865584522,2.015023038289052,4.1396736350431205,1,-97.38315018315018,0.03233333333333333,780.5890109890111,0.6104069379586391,3.3956932331017966
SC4001E0-PSG.edf,Wake,10,2.196150949279237,22.301406683069548,2.2816000316005685,3.177416181447221,1,-118.57582417582418,0.033,565.7299145299146,0.6087391594396264,3.407026034535105
SC4001E0-PSG.edf,Wake,11,2.238895198406055,22.007743066200913,1.9609633690875323,3.749497181265554,1,-105.82271062271062,0.032,611.067155067155,0.6200800533689126,3.392183131848869
SC4001E0-PSG.edf,N1,1021,1.5275906443956315,5.825292790750385,3.8984225841412834,1.7619128686225993,0,-31.92967032967033,0.018333333333333333,133.54774114774116,0.6340893929286191,3.3016791889380577
