file,cohort,channel,sf,n,mean,std,rms,min,max,p1,p99,nan,flat_frac,jump_rate,flat1s_rate,std_med
SC4001E0-PSG.edf,SC,EEG Fpz-Cz,100.0,7950000,0.1655056189093927,25.90938238369947,25.90991099202478,-192.0,170.6197802197802,-71.31428571428572,71.40805860805861,0,0.0023685564384357,0.0,0.0,21.73119344524892
SC4001E0-PSG.edf,SC,EEG Pz-Oz,100.0,7950000,-0.3508537159444431,11.426042623282056,11.431428097969652,-171.08791208791212,196.0,-31.354578754578768,31.02637362637362,0,0.0045522069839081,0.0,0.0,8.14155026623435
SC4001E0-PSG.edf,SC,EOG horizontal,100.0,7950000,0.8605218389660652,73.33068678509723,73.33573564238223,-511.7687423687424,517.1894993894994,-207.22075702075705,230.87496947496948,0,0.0090742252505978,0.0,0.0,69.0433895198172
SC4001E0-PSG.edf,SC,Resp oro-nasal,1.0,79500,126.9654465408805,171.59601218342294,213.4605725012903,-1748.0,1806.0,-346.0,647.0,0,0.0104026465741707,,,
SC4001E0-PSG.edf,SC,EMG submental,1.0,79500,2.950010641509434,0.9569469341109612,3.101340068377422,-0.108,3.81,0.118,3.63,0,0.009295714411502,,,
SC4001E0-PSG.edf,SC,Temp rectal,1.0,79500,36.9822173666058,0.3672271014905939,36.984040572859925,34.70860215053764,37.49677419354839,36.053720430107525,37.435483870967744,0,0.0162643555264846,,,
SC4001E0-PSG.edf,SC,Event marker,1.0,79500,858.3775597484276,36.07171458761636,859.1351486657708,136.0,980.0,781.0,936.0,0,0.0155473653756651,,,
SC4002E0-PSG.edf,SC,EEG Fpz-Cz,100.0,8490000,0.6701518756390735,29.04089249592803,29.04862372809548,-208.0,209.0,-78.77582417582418,82.1179487179487,0,0.00197408948656,0.0,0.0,27.68606285598915
SC4002E0-PSG.edf,SC,EEG Pz-Oz,100.0,8490000,1.0932798688394365,12.553085038119582,12.600603352453854,-200.0,177.94871794871793,-33.60439560439561,36.09523809523808,0,0.003910487527076,0.0,0.0,9.806867650387112
SC4002E0-PSG.edf,SC,EOG horizontal,100.0,8490000,1.4132964257310667,65.15004010926543,65.16536758912574,-585.2478632478633,552.4871794871796,-191.69474969474967,210.05738705738707,0,0.0102709190470189,0.0,0.0,68.81548022606401
SC4002E0-PSG.edf,SC,Resp oro-nasal,1.0,84900,116.45359246171968,427.2185546959466,442.80597633019113,-2209.0,2256.0,-1161.0,1614.0,0,0.0166904203818655,,,
SC4002E0-PSG.edf,SC,EMG submental,1.0,84900,3.1759467137809185,1.4933288419144128,3.509511156681121,-2.758,4.692,0.136,4.482,0,0.0149236151191415,,,
SC4002E0-PSG.edf,SC,Temp rectal,1.0,84900,36.987026073505774,0.4006113083872222,36.98919554657283,34.75917215428034,39.23142050799624,35.601110065851366,37.540921919096895,0,0.0262782836075807,,,
SC4002E0-PSG.edf,SC,Event marker,1.0,84900,1032.004699646643,52.11336323909636,1033.3196517636002,95.0,1243.0,920.0,1146.0,0,0.0398944628323066,,,
SC4011E0-PSG.edf,SC,EEG Fpz-Cz,100.0,8406000,0.1026912073095999,27.5512316088439,27.55142298771913,-204.00000000000003,204.0,-81.84908424908427,86.03369963369961,0,0.0033154928806719,0.0,0.0,26.96723638884967
SC4011E0-PSG.edf,SC,EEG Pz-Oz,100.0,8406000,0.0716195362519416,11.452395445747062,11.452619386137872,-126.8119658119658,127.08302808302808,-31.488400488400487,31.3980463980464,0,0.0037996714247816,0.0,0.0,9.9827237504201
SC4011E0-PSG.edf,SC,EOG horizontal,100.0,8406000,1.021568476293437,86.05822384740878,86.06428698317603,-529.6849816849816,476.4871794871796,-247.153846153846,279.2673992673994,0,0.0122317537850984,0.0,0.0,77.34882314349952
SC4011E0-PSG.edf,SC,Resp oro-nasal,1.0,84060,69.55067808708066,559.6101610897117,563.9156224269955,-1553.0,1759.0,-1340.41,1622.0,0,0.0132525963906303,,,
SC4011E0-PSG.edf,SC,EMG submental,1.0,84060,2.4594181299072093,1.123188182797244,2.7037546544928315,-0.226,3.476,0.172,3.34,0,0.0088033405108316,,,
SC4011E0-PSG.edf,SC,Temp rectal,1.0,84060,37.184775409346045,0.2920215970365901,37.185922051989536,34.571766095688126,37.90431187241583,36.59066745422327,37.81925575900768,0,0.0204142328602529,,,
SC4011E0-PSG.edf,SC,Event marker,1.0,84060,901.294063763978,26.8177501041708,901.692952782063,91.0,1000.0,844.0,958.0,0,0.0194982095908825,,,
SC4012E0-PSG.edf,SC,EEG Fpz-Cz,100.0,8550000,-1.3197691019857425,29.572760329226387,29.602194918154687,-192.0,189.0,-88.26007326007327,88.23736263736264,0,0.0030596527013481,0.0,0.0,25.76665935311177
SC4012E0-PSG.edf,SC,EEG Pz-Oz,100.0,8550000,-0.8347015600539944,13.835580880956318,13.860736813309758,-199.0,186.94285714285712,-38.56923076923079,37.05274725274724,0,0.003588308290419,0.0,0.0,13.231807494823649
SC4012E0-PSG.edf,SC,EOG horizontal,100.0,8550000,-3.6497153153824167,106.89058427891224,106.95287480647988,-640.6271062271061,552.0278388278389,-304.8871794871794,335.4644688644689,0,0.0086128755706147,0.0,0.0,96.48971697923918
