file,cohort,stage,delta,theta,alpha,sigma,beta,eog_ptp,eog_std,eeg_std
SC4001E0-PSG.edf,SC,Wake,0.778069222649198,0.17309571006980348,0.015749653387872695,0.007013681900921251,0.01775628720317041,602.6896214896215,95.56580442559398,36.36261555274488
SC4001E0-PSG.edf,SC,Wake,0.749538425820449,0.12055770202716275,0.038718111235325404,0.03152174139385794,0.08483239090502565,793.4017094017095,106.19689881994849,26.37589668991275
SC4001E0-PSG.edf,SC,Wake,0.8705903689255625,0.055283384154711054,0.028952199519533484,0.01729385169125568,0.04040613063804214,696.8136752136752,97.70520726666423,31.701060882839325
SC4001E0-PSG.edf,SC,Wake,0.832923830975642,0.07498898345789086,0.054923744639717186,0.012032986866663238,0.031449639903660405,245.90525030525032,28.335501606459236,17.95608208792241
SC4001E0-PSG.edf,SC,Wake,0.6616142139128984,0.23481316320798604,0.05217012473534152,0.01685736878437216,0.033773384624110565,206.974358974359,19.035134455034342,16.997579482550464
SC4001E0-PSG.edf,SC,Wake,0.7585477684593713,0.18952995534432088,0.01995188949785149,0.008715093242033355,0.016734878930954343,529.7557997557998,60.840828161439894,28.816812024720537
SC4001E0-PSG.edf,SC,Wake,0.7737442578918771,0.10827045202095523,0.02972889640592794,0.02205513544800125,0.07777522345915674,634.7213675213675,105.83970965895384,33.11951336241772
SC4001E0-PSG.edf,SC,Wake,0.8580542457301914,0.10419227524576409,0.013130989744746009,0.007326260528858031,0.018092193867836066,671.1882783882784,94.52495057892631,34.703122660684194
SC4001E0-PSG.edf,SC,Wake,0.7206533131830385,0.2041399322260615,0.02772603081033217,0.013324453061467052,0.025528498515754793,622.4014652014653,70.50521367197058,21.29500014923903
SC4001E0-PSG.edf,SC,Wake,0.8210268446102525,0.1032180157159594,0.021519504448419685,0.01373710823509421,0.046130119404339955,780.5890109890111,122.22136508992497,27.779314895674503
SC4001E0-PSG.edf,SC,Wake,0.8935929581779707,0.059627909279031,0.018430861012901235,0.009255693134438435,0.02250736958026189,565.7299145299146,86.44389861212706,32.12409254888341
SC4001E0-PSG.edf,SC,Wake,0.8598348232489839,0.09289223356247722,0.015509813797245794,0.008936042278506043,0.024282039279467933,611.067155067155,80.98636017183811,34.99586887663266
SC4001E0-PSG.edf,SC,Wake,0.8626994266432431,0.08838957668343195,0.01792442001126241,0.009557391751399592,0.02349494064082674,596.2832722832724,89.68609907792995,32.70017920311717
SC4001E0-PSG.edf,SC,Wake,0.7770578649051786,0.1411852371737916,0.025842269802726962,0.017570831558570605,0.041972509869022415,691.3929181929182,97.8148935104587,27.66373893851826
SC4001E0-PSG.edf,SC,Wake,0.8509055319022981,0.08994801070452775,0.018475393818333297,0.014800363613707748,0.03610157005466065,544.5396825396826,67.57155745227593,18.156455749641943
SC4001E0-PSG.edf,SC,Wake,0.8416345314328186,0.08811341909543839,0.026015678704619828,0.01376691816254724,0.03799800616816199,662.8107448107448,93.71946456850534,23.703719551514386
SC4001E0-PSG.edf,SC,Wake,0.7771444670611141,0.1364860188442468,0.03143678650683657,0.016685409620034508,0.04629073143092498,502.1592185592186,77.08525123521814,20.578733935959363
SC4001E0-PSG.edf,SC,Wake,0.7945244314901322,0.11955339867331875,0.02878226038017202,0.015689426000729815,0.04828658611684415,687.9433455433456,103.58162586311359,27.09286507875539
SC4001E0-PSG.edf,SC,Wake,0.8282759358074159,0.1053016898408326,0.023691805933237404,0.014957443248060864,0.03183013782177729,563.7587301587303,86.6494504485749,25.392365017509505
SC4001E0-PSG.edf,SC,Wake,0.737048403677341,0.1112466950115645,0.04224383112373274,0.027878576576647694,0.10166568082254271,375.5106227106227,49.16632782754395,17.88548470677594
SC4001E0-PSG.edf,SC,Wake,0.8269694071241515,0.08456742101717891,0.027598238503510716,0.01695769402296503,0.049077866511314044,548.4820512820513,63.777830121812315,20.036664742985696
SC4001E0-PSG.edf,SC,Wake,0.7301171409734944,0.14059112204558402,0.0509228976470005,0.0322497281107368,0.07226113023935768,471.60586080586086,53.50235048923131,14.216828636768225
SC4001E0-PSG.edf,SC,Wake,0.723342620003004,0.09918253302620639,0.06113026127103903,0.043191299613644846,0.10710899430339993,342.0004884004884,44.59498665888298,14.268860347526523
SC4001E0-PSG.edf,SC,Wake,0.668287307414357,0.15484898195565244,0.05820303939757117,0.038918172799566365,0.11154029193866319,356.78437118437125,48.05404446310148,12.847572262649326
SC4001E0-PSG.edf,SC,Wake,0.8038944109350378,0.10400573819393974,0.03089149960476602,0.021509888931514464,0.05552636190001538,604.6608058608058,82.5832858544083,18.057026351198683
SC4001E0-PSG.edf,SC,Wake,0.8646219604449199,0.07193930956053585,0.02127363127510414,0.01086188378977543,0.034857717470256906,565.2371184371184,91.94321941395407,27.49183292822381
