file,channel,nan,inf,flat_frac,p99_abs,std
SC4001E0-PSG.edf,EEG Fpz-Cz,0,0,0.0023685564384357716,82.28571428571429,25.90938238369947
SC4001E0-PSG.edf,EEG Pz-Oz,0,0,0.004552206983908156,39.9919413919414,11.426042623282056
SC4001E0-PSG.edf,EOG horizontal,0,0,0.0090742252505978,256.0075702075702,73.33068678509723
SC4001E0-PSG.edf,Resp oro-nasal,0,0,0.013209208705497548,670.0,171.59601218342294
SC4001E0-PSG.edf,EMG submental,0,0,0.007925525223298528,3.63,0.9569469341109612
SC4001E0-PSG.edf,Temp rectal,0,0,0.01660586237262549,37.435483870967744,0.3672271014905939
ST7011J0-PSG.edf,EEG Fpz-Cz,0,0,0.10095292744548034,2353.232008789599,669.6487729855679
ST7011J0-PSG.edf,EEG Pz-Oz,0,0,0.10957133585330321,2353.232008789599,666.3826409627653
ST7011J0-PSG.edf,EOG horizontal,0,0,0.10205042353878423,2353.232008789599,668.6683535492051
ST7011J0-PSG.edf,EMG submental,0,0,0.1445937175312466,2353.232008789599,665.1874449349507
