file,channel,sf,mean,std,rms,p1,p99,min,max,flat_frac
SC4001E0-PSG.edf,EEG Fpz-Cz,100.0,0.16550561890939275,25.90938238369947,25.90991099202478,-71.31428571428572,71.40805860805861,-192.0,170.6197802197802,0.006756353051113591
SC4001E0-PSG.edf,EEG Pz-Oz,100.0,-0.3508537159444431,11.426042623282056,11.431428097969652,-31.354578754578768,31.02637362637362,-171.08791208791212,196.0,0.00989471822575072
SC4001E0-PSG.edf,EOG horizontal,100.0,0.8605218389660652,73.33068678509723,73.33573564238223,-207.22075702075702,230.3821733821734,-511.7687423687424,517.1894993894994,0.01968868172184676
SC4001E0-PSG.edf,Resp oro-nasal,1.0,126.9654465408805,171.59601218342294,213.4605725012903,-346.0,647.0,-1748.0,1806.0,0.010402646574170744
SC4001E0-PSG.edf,EMG submental,1.0,2.950010641509434,0.9569469341109612,3.101340068377422,0.11800000000000001,3.63,-0.108,3.81,0.009295714411502032
SC4001E0-PSG.edf,Temp rectal,1.0,36.982217366605795,0.3672271014905939,36.984040572859925,36.053720430107525,37.435483870967744,34.70860215053764,37.49677419354839,0.01626435552648461
SC4001E0-PSG.edf,Event marker,1.0,858.3775597484276,36.07171458761636,859.1351486657708,781.0,936.0,136.0,980.0,0.015547365375665102
SC4041E0-PSG.edf,EEG Fpz-Cz,100.0,-0.060239886863388784,27.44598606030252,27.4460521690514,-80.92332112332112,81.86593406593407,-193.0,193.0,0.007351492522891378
SC4041E0-PSG.edf,EEG Pz-Oz,100.0,0.43039836883106514,10.714947947529707,10.723588591239574,-28.582417582417573,29.100122100122114,-193.52747252747253,183.62759462759465,0.010466019515696435
SC4041E0-PSG.edf,EOG horizontal,100.0,-0.34337420377575995,71.66141566865485,71.66223832311937,-215.77777777777777,245.55555555555554,-654.0,601.1111111111111,0.025306099261491473
SC4041E0-PSG.edf,Resp oro-nasal,1.0,83.66317769130998,276.29060285355547,288.6797958406318,-758.01,889.0,-1463.0,1633.0,0.01363182401846976
SC4041E0-PSG.edf,EMG submental,1.0,2.2966469001297014,0.9229698518557468,2.47516874804729,0.228,3.144,-0.742,3.29,0.011958650566155204
SC4041E0-PSG.edf,Temp rectal,1.0,36.99027099552619,0.3203186608353133,36.99165787535002,36.08029197080292,37.64071370640714,35.95377128953771,38.175993511759934,0.02560344492146461
SC4041E0-PSG.edf,Event marker,1.0,902.9062127107652,29.277388614765833,903.3807582829056,845.0,959.0,90.0,1013.0,0.05109015681137239
SC4101E0-PSG.edf,EEG Fpz-Cz,100.0,-0.9057764563432043,19.016355687188874,19.037915185506673,-62.53992673992672,52.5809523809524,-172.8285714285714,151.31013431013432,0.010691913074989347
SC4101E0-PSG.edf,EEG Pz-Oz,100.0,0.07017008547008549,8.930527652122972,8.930803322558837,-24.451770451770454,24.822954822954824,-164.2026862026862,183.13308913308913,0.015337992075734323
SC4101E0-PSG.edf,EOG horizontal,100.0,-0.5925689534104541,69.34137750159212,69.34390940654308,-206.52844932844937,227.803663003663,-552.331623931624,507.1062271062271,0.020761522152147324
SC4101E0-PSG.edf,Resp oro-nasal,1.0,186.27192401960784,481.4637577130299,516.240815578464,-1115.01,1701.0,-2046.0,2253.0,0.006789298888466771
SC4101E0-PSG.edf,EMG submental,1.0,3.0756327450980394,1.4411922069858616,3.3965499790516964,0.08,4.246,-1.312,4.444,0.007107930244243189
SC4101E0-PSG.edf,Temp rectal,1.0,36.32745076203208,0.4501351648733893,36.330239478078326,34.528,37.04036363636364,34.336,37.65236363636364,0.012806529491782988
SC4101E0-PSG.edf,Event marker,1.0,1017.6780514705882,30.937085725129595,1018.1481816111726,949.0,1088.0,91.0,1153.0,0.014583512052843785
ST7011J0-PSG.edf,EEG Fpz-Cz,100.0,-205.65836952734986,669.6487729855679,700.5175544679264,-2353.232008789599,138.25306720380883,-2812.4885552096684,2986.0831349569676,0.11898889108325657
ST7011J0-PSG.edf,EEG Pz-Oz,100.0,-205.6685634626694,666.3826409627653,697.3990121682905,-2353.232008789599,104.55960446804615,-2437.465665629006,2966.3065372642372,0.13957803330864438
ST7011J0-PSG.edf,EOG horizontal,100.0,-205.67903089978614,668.6683535492051,699.5864712743378,-2353.232008789599,225.05035707745833,-2718.7328328145027,2906.6105108954403,0.11924655132215914
ST7011J0-PSG.edf,EMG submental,100.0,-205.6493300940219,665.1874449349507,696.2513797955502,-2353.232008789599,60.61160959531221,-2999.633766709394,656.8394067020693,0.15058026478558909
ST7011J0-PSG.edf,Marker,10.0,-0.813949860724234,9.073463917527148,9.10989911241832,-30.0,2.0,-30.0,34.0,0.9999777158153644
ST7052J0-PSG.edf,EEG Fpz-Cz,100.0,116.90260096473403,481.08704080489184,495.08681960109556,-170.48159677714705,2047.060977842886,-2812.4885552096684,2625.3433437099434,0.09228513319681182
ST7052J0-PSG.edf,EEG Pz-Oz,100.0,116.90315896014057,479.68572878795936,493.725376072261,-97.23493865592383,2047.060977842886,-2906.244277604834,2929.3169749130197,0.10889616475667523
ST7052J0-PSG.edf,EOG horizontal,100.0,116.92735713039086,517.7077992885294,530.7479366796167,-624.610877128731,2047.060977842886,-2756.4548617469327,2929.683208203626,0.10282427743657552
ST7052J0-PSG.edf,EMG submental,100.0,116.94079888499078,478.93103825272885,493.0011053189401,-46.32851126167368,2047.060977842886,-2976.9273026918145,2742.1717634132942,0.1485979739865897
ST7052J0-PSG.edf,Marker,10.0,0.043155650319829424,7.67029639311865,7.6704177962118525,-30.0,2.0,-30.0,34.0,0.9999695399620467
