epoch,label,mean,std,rms,ptp,zcr,delta,theta,alpha,sigma,beta
0,Wake,0.4087560439560438,36.36261555274488,36.36491291533907,278.13040293040297,0.0906968989663221,0.778069222649198,0.17309571006980348,0.015749653387872695,0.007013681900921251,0.01775628720317041
1,Wake,-0.5228151404151402,26.37589668991275,26.381077723777658,206.11282051282052,0.1727242414138046,0.749538425820449,0.12055770202716275,0.038718111235325404,0.03152174139385794,0.08483239090502565
2,Wake,0.99483663003663,31.701060882839325,31.71666692794103,217.08424908424908,0.14304768256085362,0.8705903689255625,0.055283384154711054,0.028952199519533484,0.01729385169125568,0.04040613063804214
3,Wake,-0.22317948717948732,17.95608208792241,17.957469004058055,108.58901098901099,0.10703567855951984,0.832923830975642,0.07498898345789086,0.054923744639717186,0.012032986866663238,0.031449639903660405
4,Wake,0.17610549450549456,16.997579482550464,16.998491739293094,157.16336996336997,0.12870956985661888,0.6616142139128984,0.23481316320798604,0.05217012473534152,0.01685736878437216,0.033773384624110565
5,Wake,-0.09868034188034198,28.816812024720537,28.816980984793528,190.82783882783883,0.09369789929976659,0.7585477684593713,0.18952995534432088,0.01995188949785149,0.008715093242033355,0.016734878930954343
6,Wake,0.026537728937728843,33.11951336241772,33.119523994381666,221.96043956043957,0.14471490496832276,0.7737442578918771,0.10827045202095523,0.02972889640592794,0.02205513544800125,0.07777522345915674
7,Wake,0.6734769230769233,34.703122660684194,34.709657064978465,249.15457875457872,0.0756918972990997,0.8580542457301914,0.10419227524576409,0.013130989744746009,0.007326260528858031,0.018092193867836066
8,Wake,-0.032101587301587305,21.29500014923903,21.29502434532531,171.41684981684983,0.13571190396798932,0.7206533131830385,0.2041399322260615,0.02772603081033217,0.013324453061467052,0.025528498515754793
9,Wake,0.525972161172161,27.779314895674503,27.78429381480428,213.05201465201463,0.20373457819273091,0.8210268446102525,0.1032180157159594,0.021519504448419685,0.01373710823509421,0.046130119404339955
10,Wake,-0.08802148962148984,32.12409254888341,32.124213140120055,208.08205128205128,0.0703567855951984,0.8935929581779707,0.059627909279031,0.018430861012901235,0.009255693134438435,0.02250736958026189
11,Wake,0.1733548229548227,34.99586887663266,34.996298237458035,251.78021978021977,0.13037679226408802,0.8598348232489839,0.09289223356247722,0.015509813797245794,0.008936042278506043,0.024282039279467933
12,Wake,-1.0690422466422462,32.70017920311717,32.71764923158574,235.46373626373628,0.09269756585528509,0.8626994266432431,0.08838957668343195,0.01792442001126241,0.009557391751399592,0.02349494064082674
13,Wake,1.214452747252747,27.66373893851826,27.69038366534132,206.95677655677656,0.12204068022674225,0.7770578649051786,0.1411852371737916,0.025842269802726962,0.017570831558570605,0.041972509869022415
14,Wake,-0.13509548229548213,18.156455749641943,18.156958340483204,180.79413919413918,0.12004001333777926,0.8509055319022981,0.08994801070452775,0.018475393818333297,0.014800363613707748,0.03610157005466065
15,Wake,1.1819760683760685,23.703719551514386,23.733170626847546,180.70036630036628,0.12670890296765588,0.8416345314328186,0.08811341909543839,0.026015678704619828,0.01376691816254724,0.03799800616816199
