file,marker_neg_frac,flat1s_rate
ST7011J0-PSG.edf,0.08803342618384401,0.1158333333333333
ST7012J0-PSG.edf,0.009141123882503193,0.0583333333333333
ST7021J0-PSG.edf,0.09937581699346405,0.10020833333333333
ST7022J0-PSG.edf,0.08181729518855657,0.1075
ST7041J0-PSG.edf,0.019762516046213093,0.0708333333333333
ST7042J0-PSG.edf,0.008164794007490636,0.0533333333333333
ST7051J0-PSG.edf,0.03358385093167702,0.0683333333333333
ST7052J0-PSG.edf,0.0611727078891258,0.1125
ST7061J0-PSG.edf,0.02711390850475898,0.0633333333333333
ST7062J0-PSG.edf,0.04972849298352654,0.0708333333333333
ST7071J0-PSG.edf,0.11013109978150036,0.12
ST7072J0-PSG.edf,0.008077203204661326,0.07062499999999998
ST7081J0-PSG.edf,0.0032344827586206896,0.06
ST7082J0-PSG.edf,0.023683841570276903,0.0641666666666666
ST7091J0-PSG.edf,0.052628935030140656,0.0691666666666666
ST7092J0-PSG.edf,0.04125389677866297,0.0533333333333333
ST7101J0-PSG.edf,0.04550364077669903,0.0541666666666666
ST7102J0-PSG.edf,0.008883299798792757,0.0516666666666666
ST7111J0-PSG.edf,0.022429936305732485,0.0741666666666666
ST7112J0-PSG.edf,0.03552005216824258,0.0541666666666666
ST7121J0-PSG.edf,0.0039807692307692304,0.0516666666666666
ST7122J0-PSG.edf,0.042263591433278416,0.0525
ST7131J0-PSG.edf,0.06790310918293564,0.12
ST7132J0-PSG.edf,0.05299851742031134,0.0633333333333333
ST7141J0-PSG.edf,0.06374501992031872,0.1208333333333333
ST7142J0-PSG.edf,0.03866957470010905,0.0675
ST7151J0-PSG.edf,0.23827317579849389,0.2583333333333333
ST7152J0-PSG.edf,0.03368372093023256,0.0608333333333333
ST7161J0-PSG.edf,0.03650750750750751,0.0666666666666666
ST7162J0-PSG.edf,0.014127829560585885,0.0508333333333333
ST7171J0-PSG.edf,0.005122709989630141,0.0266666666666666
ST7172J0-PSG.edf,0.008062913907284768,0.085
ST7181J0-PSG.edf,0.06821243523316062,0.1208333333333333
ST7182J0-PSG.edf,0.14070123747790217,0.1516666666666666
ST7191J0-PSG.edf,0.14736608464042616,0.1633333333333333
ST7192J0-PSG.edf,0.1509422492401216,0.1708333333333333
ST7201J0-PSG.edf,0.0019024725274725276,0.0441666666666666
ST7202J0-PSG.edf,0.05823333333333333,0.1216666666666666
ST7211J0-PSG.edf,0.001464318813716404,0.03
ST7212J0-PSG.edf,0.042296015180265656,0.0708333333333333
ST7221J0-PSG.edf,0.06462985436893204,0.1266666666666666
ST7222J0-PSG.edf,0.009485038274182324,0.065
ST7241J0-PSG.edf,0.03344679546151487,0.0591666666666666
ST7242J0-PSG.edf,0.0049966078697421985,0.0683333333333333
