file,jump_labelled,flat_labelled
ST7011J0-PSG.edf,0.0,0.0006105006105006105
ST7012J0-PSG.edf,0.0,0.005128205128205128
ST7021J0-PSG.edf,0.0,0.0010869565217391304
ST7022J0-PSG.edf,0.0,0.0024717514124293787
ST7041J0-PSG.edf,0.0,0.013558201058201057
ST7042J0-PSG.edf,0.0,0.0008841732979664014
ST7051J0-PSG.edf,0.0,0.004911591355599214
ST7052J0-PSG.edf,6.447474040857643e-06,0.006447453255963894
ST7061J0-PSG.edf,3.3068892423586056e-06,0.0
ST7062J0-PSG.edf,3.5014128200728994e-06,0.0
ST7071J0-PSG.edf,8.120211612714627e-06,0.008120178643930167
ST7072J0-PSG.edf,0.0,0.006564551422319475
ST7081J0-PSG.edf,3.4506675316339947e-06,0.0027605244996549345
ST7082J0-PSG.edf,1.0741177018177652e-05,0.002506265664160401
ST7091J0-PSG.edf,0.0,0.0
ST7092J0-PSG.edf,0.0,0.00036114120621162876
ST7101J0-PSG.edf,0.0,0.00031776294884016526
ST7102J0-PSG.edf,0.0,0.0010141987829614604
ST7111J0-PSG.edf,6.5168019446137e-06,0.0
ST7112J0-PSG.edf,1.690337019394927e-05,0.0003380662609871535
ST7121J0-PSG.edf,0.0,0.00032175032175032174
ST7122J0-PSG.edf,0.0,0.0003439972480220158
ST7131J0-PSG.edf,0.0,0.0
ST7132J0-PSG.edf,0.0,0.000782472613458529
ST7141J0-PSG.edf,3.866990978310048e-06,0.0003866976024748647
ST7142J0-PSG.edf,0.0,0.0007558578987150416
ST7151J0-PSG.edf,7.4322089639872315e-06,0.00966183574879227
ST7152J0-PSG.edf,0.0,0.005741626794258373
ST7161J0-PSG.edf,0.0,0.000630715862503942
ST7162J0-PSG.edf,0.0,0.0010121457489878543
ST7171J0-PSG.edf,6.9156532353154745e-06,0.004840940525587829
ST7172J0-PSG.edf,3.3167605862706013e-06,0.006633499170812604
ST7181J0-PSG.edf,0.0,0.0
ST7182J0-PSG.edf,0.0,0.0003447087211306446
ST7191J0-PSG.edf,0.0,0.0006980802792321117
ST7192J0-PSG.edf,0.0,0.0
ST7201J0-PSG.edf,0.0,0.00036114120621162876
ST7202J0-PSG.edf,0.0,0.0011111111111111111
ST7211J0-PSG.edf,0.0,0.0
ST7212J0-PSG.edf,3.300340925217575e-06,0.0006600660066006601
ST7221J0-PSG.edf,6.071663848402697e-06,0.06405585913782635
ST7222J0-PSG.edf,7.010189310162321e-06,0.002103049421661409
ST7241J0-PSG.edf,0.0,0.006510416666666667
ST7242J0-PSG.edf,3.5461118656449135e-06,0.0003546099290780142
