file,stage,eog_rms_med,emg_rms_med,emg_sf
SC4001E0-PSG.edf,Wake,95.06235139991827,3.4103685143677627,1.0
SC4001E0-PSG.edf,N1,25.48252429851341,3.0499086939500306,1.0
SC4001E0-PSG.edf,N2,15.604665861812816,2.7405114615931794,1.0
SC4001E0-PSG.edf,N3,18.511855167308532,2.84446805090868,1.0
SC4001E0-PSG.edf,REM,15.36852751495853,0.38493116716085585,1.0
ST7011J0-PSG.edf,Wake,46.786296774799396,51.507207051102824,100.0
ST7011J0-PSG.edf,N1,75.92568236508883,22.179744061969938,100.0
ST7011J0-PSG.edf,N2,95.24429974037864,18.955206136878438,100.0
ST7011J0-PSG.edf,N3,70.73542564707398,7.651231851459114,100.0
ST7011J0-PSG.edf,REM,93.24567312934356,4.703310094683243,100.0
